new
"269,4533,2"
"269,4529,2.2"
"270,4509,2.4000000000000004"
"269,3130,2.6000000000000005"
"13,1029,2.8000000000000007"
"32,1544,3.000000000000001"
"32,1615,3.200000000000001"
"5,1050,3.4000000000000012"
"5,104,3.6000000000000014"
"5,144,3.8000000000000016"
"5,172,4.000000000000002"
"6,171,4.200000000000002"
"6,192,4.400000000000002"
"9,306,4.600000000000002"
"25,1762,4.8000000000000025"
"73,5099,5.000000000000003"
"78,3054,5.200000000000003"
"293,1042,5.400000000000003"
"293,891,5.600000000000003"
"289,3089,5.800000000000003"
"273,3089,6.0000000000000036"
"271,3453,6.200000000000004"
"271,3354,6.400000000000004"
"271,3354,6.600000000000004"
"271,3340,6.800000000000004"
"272,3308,7.000000000000004"
"273,3291,7.200000000000005"
"276,4280,7.400000000000005"
"281,4236,7.600000000000005"
"285,4075,7.800000000000005"
"294,2624,8.000000000000005"
"305,2391,8.200000000000005"
"323,2042,8.400000000000004"
"328,1946,8.600000000000003"
"347,1472,8.800000000000002"
"364,497,9.000000000000002"
"388,704,9.200000000000001"
"384,1888,9.4"
"390,1749,9.6"
"391,2454,9.799999999999999"
"375,2451,9.999999999999998"
"145,902,10.199999999999998"
"24,4418,10.399999999999997"
"24,4287,10.599999999999996"
"24,3894,10.799999999999995"
"344,1299,10.999999999999995"
"506,1304,2"
"505,1300,2.2"
"467,1314,2.4000000000000004"
"297,2247,2.6000000000000005"
"275,3359,2.8000000000000007"
"14,1184,3.200000000000001"
"11,107,3.4000000000000012"
"65535,98,3.6000000000000014"
"5,140,3.8000000000000016"
"6,159,4.000000000000002"
"7,189,4.200000000000002"
"7,194,4.400000000000002"
"8,236,4.600000000000002"
"14,1743,4.8000000000000025"
"72,5951,5.000000000000003"
"133,4060,5.200000000000003"
"298,1493,5.400000000000003"
"292,870,5.600000000000003"
"288,3553,5.800000000000003"
"273,3360,6.0000000000000036"
"270,2053,6.200000000000004"
"271,3361,6.400000000000004"
"271,3362,6.600000000000004"
"271,3345,6.800000000000004"
"272,3321,7.000000000000004"
"274,3270,7.200000000000005"
"277,4534,7.400000000000005"
"281,4262,7.600000000000005"
"287,3619,7.800000000000005"
"296,2592,8.000000000000005"
"305,2384,8.200000000000005"
"327,2001,8.400000000000004"
"330,1936,8.600000000000003"
"378,325,9.000000000000002"
"396,2077,9.200000000000001"
"391,2129,9.4"
"387,2403,9.6"
"377,2410,9.799999999999999"
"367,2356,9.999999999999998"
"366,860,10.199999999999998"
"23,3823,10.399999999999997"
"24,6278,10.599999999999996"
"24,7005,10.799999999999995"
"26,2144,10.999999999999995"
"505,1279,2"
"505,1309,2.2"
"357,1852,2.4000000000000004"
"304,2499,2.6000000000000005"
"272,3359,2.8000000000000007"
"14,2465,3.000000000000001"
"13,1047,3.200000000000001"
"12,156,3.4000000000000012"
"11,113,3.6000000000000014"
"10,141,3.8000000000000016"
"10,175,4.000000000000002"
"8,182,4.200000000000002"
"8,224,4.400000000000002"
"10,646,4.600000000000002"
"13,1672,4.8000000000000025"
"72,4911,5.000000000000003"
"73,5366,5.200000000000003"
"284,2327,5.400000000000003"
"293,1025,5.600000000000003"
"278,3463,5.800000000000003"
"272,3453,6.0000000000000036"
"271,3361,6.200000000000004"
"271,3353,6.400000000000004"
"271,3349,6.600000000000004"
"271,3366,6.800000000000004"
"272,3311,7.000000000000004"
"274,3293,7.200000000000005"
"276,4288,7.400000000000005"
"281,4267,7.600000000000005"
"292,2715,7.800000000000005"
"294,2630,8.000000000000005"
"300,2494,8.200000000000005"
"318,2152,8.400000000000004"
"326,1990,8.600000000000003"
"351,1145,8.800000000000002"
"398,834,9.000000000000002"
"400,1823,9.200000000000001"
"388,2079,9.4"
"389,2369,9.6"
"382,2373,9.799999999999999"
"367,1915,9.999999999999998"
"24,1311,10.199999999999998"
"24,4289,10.399999999999997"
"26,2265,10.799999999999995"
"35,1226,10.999999999999995"
new
"278,3986,2"
"278,3986,2.2"
"278,3986,2.4000000000000004"
"9,553,2.6000000000000005"
"9,252,2.8000000000000007"
"9,252,3.000000000000001"
"9,129,3.200000000000001"
"8,129,3.4000000000000012"
"8,141,3.6000000000000014"
"7,155,3.8000000000000016"
"7,177,4.000000000000002"
"7,273,4.200000000000002"
"8,302,4.400000000000002"
"8,397,4.600000000000002"
"9,606,4.8000000000000025"
"10,766,5.000000000000003"
"10,1594,5.200000000000003"
"10,2895,5.400000000000003"
"11,5467,5.800000000000003"
"51,3506,6.0000000000000036"
"278,3506,6.200000000000004"
"273,2201,6.400000000000004"
"273,3315,6.600000000000004"
"275,3308,6.800000000000004"
"274,3294,7.000000000000004"
"274,3271,7.200000000000005"
"276,3249,7.400000000000005"
"279,4433,7.600000000000005"
"282,4424,7.800000000000005"
"288,3894,8.000000000000005"
"297,2581,8.200000000000005"
"316,2207,8.400000000000004"
"317,2174,8.600000000000003"
"340,1560,9.000000000000002"
"361,589,9.200000000000001"
"387,296,9.4"
"396,1966,9.6"
"392,2447,9.799999999999999"
"388,2438,9.999999999999998"
"376,2422,10.199999999999998"
"25,4019,10.399999999999997"
"25,4792,10.599999999999996"
"26,3556,10.999999999999995"
"56,467,2"
"62,494,2.2"
"164,2019,2.4000000000000004"
"291,3301,2.6000000000000005"
"273,3301,2.8000000000000007"
"9,354,3.000000000000001"
"7,142,3.4000000000000012"
"6,143,3.6000000000000014"
"6,147,3.8000000000000016"
"7,203,4.000000000000002"
"8,300,4.200000000000002"
"9,309,4.400000000000002"
"10,382,4.600000000000002"
"9,561,4.8000000000000025"
