
9;280
10;281
10;281
1;883
1;884
0;882
1;883
1;881
47;3263
48;3344
46;2367
46;1608
46;1891
46;2732
47;3117
46;2297
47;4466
44;1410
44;1343
49;1344
48;1354
47;1985
48;1551
47;1857
48;1557
48;1371
48;1393
49;2736
49;3398
49;2867
63;1408
62;1379
52;1046
52;2769
51;3040
52;2602
60;1312
52;1050
34;951
34;918
35;1162
41;1348
36;1836
34;2427
34;2912
34;3087
34;2906
33;3616
33;3499
33;5522
34;8618
35;12390
34;13478
32;2766
31;3128
29;828
31;3257
33;3356
33;3357
34;3250
33;3244
34;3255
34;3252
34;3236
33;3507
36;11246
36;11240
36;11377
32;13973
35;4882
34;1170
43;1027
44;1073
48;1143
48;1143
51;1838
40;10776
35;5974
35;4869
35;4492
35;5793
35;6788
34;8918
34;9056
34;11026
34;11043
34;14700
34;14902
34;14419
34;14560
34;19120
34;2888
32;2188
34;2630
34;2728
34;2816
34;2893
60;9141
35;1220
35;1231
35;1221
35;1213
35;1213
35;1223
34;1226
35;1220
35;1189
35;1196
35;1294
36;2339
35;1271
55;3182
35;1143
34;1156
35;1149
35;1135
35;1150
35;1140
35;1032
35;994
35;981
35;989
35;989
35;976
36;978
35;985
35;978
35;979
35;978
35;979
35;986
35;985
35;997
35;992
35;992
35;1011
35;1003
35;1003
35;994
35;994
35;992
35;996
35;999
35;1001
35;988
36;985
35;989
35;991
35;986
36;988
35;990
35;977
35;974
35;985
35;985
36;993
35;1003
35;995
35;984
35;991
35;992
35;995
35;995
35;1030
35;1028
35;1020
35;1044
34;1057
35;1000
35;1009
34;1035
34;1059
34;1050
34;1034
34;1020
35;1010
35;1009
35;1018
3;1802
3;1826
3;1887
3;2089
4;2275
3;2225
4;2144
3;1277
3;1840
5;2294
6;3198
6;3523
36;1178
36;1180
35;1172
36;1126
36;1124
35;1119
36;1122
36;1120
35;1123
35;1122
35;1121
35;1123
35;1124
36;1128
36;1122
79;836
85;1460
5;3981
6;2521
58;5500
58;5484
58;5522
58;5519
58;5374
59;6133
20;4665
20;4269
19;7127
21;3541
21;3424
21;3473
21;3569
21;3638
21;3672
21;3563
21;3592
20;3697
20;3752
20;3769
21;3874
20;3918
52;8183
49;8745
48;9404
51;5283
54;2411
53;11144
67;7136
69;5342
32;3943
31;6722
57;2776
39;4527
45;1103
49;4411
48;4226
38;1807
45;1059
48;4859
42;12628
47;3614
63;6328
38;5046
33;8823
32;9927
31;10577
31;12362
24;325
46;12551
41;5316
46;5050
53;2868
43;4796
43;4635
43;10480
43;11217
45;14391
45;14410
3;3791
4;1974
4;1536
4;1310
3;2358
47;7950
4;1934
53;1539
350;701
4;1933
4;1628
4;1648
4;1729
4;1745
162;345
1;645
38;1245
3;3265
2;809
62;947
82;1157
54;2285
91;9388
90;4542
106;2946
105;3130
104;3094
94;5981
5;1766
345;941
127;544
69;4725
59;5500
87;4982
58;7794
83;3291
90;746
399;2094
401;2040
403;2014
401;2034
390;2199
391;2174
394;2149
389;2211
407;1959
399;2067
400;2064
433;1345
284;680
127;491
127;489
126;486
125;491
159;481
131;471
163;448
71;3859
75;6651
74;7753
77;3983
77;3993
77;3987
76;3880
75;3879
76;3885
75;3879
75;3874
58;3496
55;3806
51;4205
51;4195
43;5344
43;5535
42;5711
43;5863
45;5787
